id,text,platform,country,likes,retweets,sentiment
482,Fantastic effort by the team!,Facebook,USA,4809,1930,positive
483,Fantastic effort by the team!,Instagram,Canada,4485,1539,positive
484,Neutral feelings about this.,Facebook,UK,1490,1574,neutral
485,"It's okay, nothing special.",Facebook,UK,4306,1233,neutral
486,Worst experience ever.,Twitter,Canada,1694,1724,negative
487,"Amazing service, will recommend to everyone!",Facebook,UK,3955,1667,positive
488,Neutral feelings about this.,Twitter,Canada,1710,1815,neutral
489,"It's okay, nothing special.",Instagram,USA,2419,718,neutral
490,Totally disappointed with the quality.,Twitter,India,1775,1958,negative
491,"It's okay, nothing special.",Twitter,USA,172,1337,neutral
492,Would not buy again.,Instagram,USA,1429,517,negative
493,Neutral feelings about this.,Twitter,UK,863,1840,neutral
494,Outstanding performance!,Facebook,India,479,796,positive
495,Worst experience ever.,Instagram,India,3803,1578,negative
496,I love this product!,Facebook,Canada,87,108,positive
497,Pretty decent for the price.,Instagram,India,4071,443,positive
498,"Amazing service, will recommend to everyone!",Facebook,UK,666,1144,positive
499,Could be better.,Instagram,India,2554,889,neutral
500,"It's okay, nothing special.",Twitter,India,321,1025,neutral
501,"Amazing service, will recommend to everyone!",Facebook,Australia,4862,1501,positive
502,Would not buy again.,Facebook,USA,3811,415,negative
503,Outstanding performance!,Twitter,Australia,827,647,positive
504,Could be better.,Facebook,Australia,862,1148,neutral
505,"Amazing service, will recommend to everyone!",Facebook,Canada,2603,1533,positive
506,"It's okay, nothing special.",Facebook,UK,1617,598,neutral
507,Pretty decent for the price.,Instagram,India,3683,1508,positive
508,Outstanding performance!,Facebook,USA,982,445,positive
509,I love this product!,Instagram,Canada,2851,1689,positive
510,Neutral feelings about this.,Twitter,UK,1955,1947,neutral
511,Outstanding performance!,Twitter,India,348,840,positive
512,Pretty decent for the price.,Facebook,India,1463,1740,positive
513,Worst experience ever.,Facebook,India,2218,1454,negative
514,Totally disappointed with the quality.,Twitter,Canada,2930,86,negative
515,Pretty decent for the price.,Twitter,Australia,2491,1950,positive
516,"Amazing service, will recommend to everyone!",Instagram,India,3853,1297,positive
517,Fantastic effort by the team!,Twitter,USA,609,1091,positive
518,Worst experience ever.,Twitter,UK,2398,1616,negative
519,Highly recommend!,Twitter,Canada,2739,879,positive
520,I love this product!,Twitter,Canada,469,279,positive
521,I love this product!,Facebook,India,2958,1789,positive
522,Could be better.,Twitter,UK,2159,1562,neutral
523,Neutral feelings about this.,Facebook,Canada,3371,1785,neutral
524,Pretty decent for the price.,Instagram,UK,4972,1092,positive
525,Pretty decent for the price.,Facebook,Australia,748,608,positive
526,"It's okay, nothing special.",Twitter,UK,4337,3,neutral
527,Could be better.,Facebook,Canada,3740,409,neutral
528,Outstanding performance!,Instagram,USA,4206,69,positive
529,Fantastic effort by the team!,Twitter,India,3184,1541,positive
530,Neutral feelings about this.,Twitter,India,2257,654,neutral
531,Totally disappointed with the quality.,Twitter,USA,254,31,negative
532,"Amazing service, will recommend to everyone!",Instagram,Australia,2986,1612,positive
533,Could be better.,Facebook,Canada,4267,960,neutral
534,Neutral feelings about this.,Instagram,UK,2560,1282,neutral
535,"It's okay, nothing special.",Twitter,Canada,1684,1895,neutral
536,Outstanding performance!,Instagram,Australia,4341,699,positive
537,Neutral feelings about this.,Facebook,Canada,1768,923,neutral
538,Would not buy again.,Facebook,Canada,3030,194,negative
539,Totally disappointed with the quality.,Instagram,UK,3748,1272,negative
540,Worst experience ever.,Facebook,Canada,2561,1583,negative
541,Totally disappointed with the quality.,Twitter,Australia,3369,777,negative
542,"It's okay, nothing special.",Facebook,Canada,2216,919,neutral
543,Outstanding performance!,Twitter,India,3883,878,positive
544,"It's okay, nothing special.",Twitter,UK,1783,1277,neutral
545,"It's okay, nothing special.",Instagram,India,3022,193,neutral
546,Pretty decent for the price.,Twitter,USA,4251,1914,positive
547,Totally disappointed with the quality.,Instagram,UK,1644,49,negative
548,Outstanding performance!,Twitter,Canada,4405,807,positive
549,Totally disappointed with the quality.,Facebook,Australia,258,169,negative
550,I love this product!,Instagram,Canada,3048,1420,positive
551,"Amazing service, will recommend to everyone!",Instagram,Canada,4306,1639,positive
552,Pretty decent for the price.,Instagram,USA,38,210,positive
553,Worst experience ever.,Facebook,Australia,2358,1482,negative
554,Highly recommend!,Twitter,Canada,4283,1590,positive
555,Could be better.,Instagram,UK,4007,308,neutral
556,Totally disappointed with the quality.,Twitter,India,3502,1801,negative
557,Neutral feelings about this.,Facebook,USA,2695,177,neutral
558,Would not buy again.,Instagram,India,2079,1117,negative
559,Pretty decent for the price.,Twitter,UK,4488,1130,positive
560,Fantastic effort by the team!,Instagram,India,4890,829,positive
561,Highly recommend!,Facebook,UK,461,494,positive
562,"It's okay, nothing special.",Instagram,Canada,3534,528,neutral
563,Pretty decent for the price.,Instagram,Australia,243,1498,positive
564,Could be better.,Facebook,USA,2720,1656,neutral
565,"Amazing service, will recommend to everyone!",Facebook,Australia,4842,755,positive
566,"It's okay, nothing special.",Twitter,Canada,4213,1908,neutral
567,Totally disappointed with the quality.,Facebook,India,1037,301,negative
568,I love this product!,Twitter,USA,112,1128,positive
569,"It's okay, nothing special.",Twitter,India,4034,1709,neutral
570,Worst experience ever.,Twitter,Canada,1159,437,negative
571,Pretty decent for the price.,Instagram,UK,910,1255,positive
572,Outstanding performance!,Facebook,Canada,3262,603,positive
573,"Amazing service, will recommend to everyone!",Twitter,Canada,4919,1696,positive
574,Highly recommend!,Facebook,India,1899,751,positive
575,Would not buy again.,Facebook,India,3808,194,negative
576,Outstanding performance!,Twitter,Canada,3914,530,positive
577,Outstanding performance!,Twitter,Australia,3274,1822,positive
578,Totally disappointed with the quality.,Twitter,Australia,386,1182,negative
579,Pretty decent for the price.,Twitter,UK,2942,346,positive
580,Outstanding performance!,Instagram,Australia,161,368,positive
581,Would not buy again.,Facebook,India,3030,1811,negative
582,Pretty decent for the price.,Twitter,USA,329,1539,positive
583,Fantastic effort by the team!,Instagram,Australia,4678,1101,positive
584,Outstanding performance!,Facebook,UK,1671,999,positive
585,Pretty decent for the price.,Facebook,USA,663,666,positive
586,Fantastic effort by the team!,Facebook,India,2038,1809,positive
587,Outstanding performance!,Facebook,Canada,3508,1890,positive
588,Neutral feelings about this.,Facebook,USA,115,80,neutral
589,Pretty decent for the price.,Facebook,USA,1771,1273,positive
590,Neutral feelings about this.,Twitter,Australia,1051,1846,neutral
591,Would not buy again.,Twitter,Australia,4342,795,negative
592,Highly recommend!,Facebook,Canada,3295,1621,positive
593,"It's okay, nothing special.",Instagram,Australia,4750,520,neutral
594,Pretty decent for the price.,Twitter,India,708,587,positive
595,Outstanding performance!,Twitter,Australia,2285,789,positive
596,Pretty decent for the price.,Twitter,USA,3856,488,positive
597,I love this product!,Facebook,USA,2568,326,positive
598,Totally disappointed with the quality.,Instagram,USA,4301,1414,negative
599,Outstanding performance!,Facebook,Australia,4649,98,positive
600,Could be better.,Instagram,Australia,469,380,neutral
601,I love this product!,Facebook,UK,4653,728,positive
602,Could be better.,Facebook,Australia,943,454,neutral
603,"It's okay, nothing special.",Facebook,USA,3266,1541,neutral
604,"Amazing service, will recommend to everyone!",Instagram,UK,103,1643,positive
605,Outstanding performance!,Facebook,UK,3316,1609,positive
606,"Amazing service, will recommend to everyone!",Facebook,USA,792,1877,positive
607,Could be better.,Instagram,Canada,922,1129,neutral
608,"It's okay, nothing special.",Facebook,Canada,2422,1861,neutral
609,Pretty decent for the price.,Instagram,UK,2453,1599,positive
610,Highly recommend!,Facebook,India,4568,779,positive
611,"Amazing service, will recommend to everyone!",Instagram,Australia,2684,1508,positive
612,Highly recommend!,Facebook,USA,4731,1556,positive
613,Would not buy again.,Twitter,USA,164,1237,negative
614,"Amazing service, will recommend to everyone!",Twitter,Canada,769,1935,positive
615,I love this product!,Instagram,India,4769,642,positive
616,Fantastic effort by the team!,Twitter,India,2521,1119,positive
617,"Amazing service, will recommend to everyone!",Instagram,UK,3217,1626,positive
618,Outstanding performance!,Instagram,Canada,1572,507,positive
619,I love this product!,Twitter,India,4006,1771,positive
620,Highly recommend!,Instagram,Australia,2297,686,positive
621,Worst experience ever.,Twitter,Canada,47,467,negative
622,Worst experience ever.,Facebook,Australia,202,48,negative
623,"It's okay, nothing special.",Twitter,UK,3540,1006,neutral
624,"It's okay, nothing special.",Instagram,Australia,275,1179,neutral
625,Worst experience ever.,Instagram,UK,1850,1429,negative
626,Would not buy again.,Twitter,Australia,3158,952,negative
627,"It's okay, nothing special.",Facebook,Australia,2274,1786,neutral
628,Highly recommend!,Twitter,Australia,1497,1587,positive
629,"It's okay, nothing special.",Twitter,Canada,93,1172,neutral
630,Could be better.,Instagram,Australia,813,1686,neutral
631,"It's okay, nothing special.",Instagram,UK,1001,142,neutral
632,Could be better.,Instagram,Canada,1747,1193,neutral
633,Worst experience ever.,Facebook,Australia,2287,1050,negative
634,Fantastic effort by the team!,Facebook,USA,1162,371,positive
635,Fantastic effort by the team!,Instagram,India,1173,732,positive
636,Fantastic effort by the team!,Twitter,UK,4300,1783,positive
637,"Amazing service, will recommend to everyone!",Facebook,Canada,1899,971,positive
638,Pretty decent for the price.,Twitter,Canada,2450,238,positive
639,"It's okay, nothing special.",Facebook,Canada,3736,1745,neutral
640,Could be better.,Twitter,USA,4727,166,neutral
641,Totally disappointed with the quality.,Twitter,UK,4825,669,negative
642,"It's okay, nothing special.",Facebook,Canada,2432,571,neutral
643,Could be better.,Instagram,Canada,3320,71,neutral
644,Totally disappointed with the quality.,Facebook,Australia,833,819,negative
645,Would not buy again.,Facebook,India,1276,1590,negative
646,Fantastic effort by the team!,Twitter,UK,3225,721,positive
647,I love this product!,Instagram,Australia,63,717,positive
648,I love this product!,Facebook,UK,2603,1012,positive
649,"Amazing service, will recommend to everyone!",Facebook,UK,4373,913,positive
650,Outstanding performance!,Facebook,UK,1703,219,positive
651,Pretty decent for the price.,Facebook,India,4461,874,positive
652,Outstanding performance!,Twitter,Canada,1177,1674,positive
653,Pretty decent for the price.,Twitter,UK,4716,482,positive
654,Highly recommend!,Twitter,Canada,4261,1398,positive
655,Worst experience ever.,Twitter,India,14,1821,negative
656,Could be better.,Instagram,UK,321,1194,neutral
657,I love this product!,Twitter,Australia,4321,830,positive
658,Would not buy again.,Twitter,UK,3459,617,negative
659,Fantastic effort by the team!,Facebook,UK,2527,1453,positive
660,Neutral feelings about this.,Twitter,Australia,1714,683,neutral
661,Fantastic effort by the team!,Instagram,Canada,44,1400,positive
662,Would not buy again.,Instagram,UK,4157,32,negative
663,"Amazing service, will recommend to everyone!",Instagram,USA,3136,262,positive
664,I love this product!,Instagram,Canada,687,434,positive
665,Could be better.,Facebook,UK,3322,242,neutral
666,Would not buy again.,Facebook,UK,4002,616,negative
667,Pretty decent for the price.,Facebook,India,3434,1309,positive
668,Pretty decent for the price.,Facebook,USA,3163,1881,positive
669,Fantastic effort by the team!,Facebook,UK,3169,1029,positive
670,Could be better.,Facebook,UK,888,1826,neutral
671,Neutral feelings about this.,Facebook,UK,368,157,neutral
672,"Amazing service, will recommend to everyone!",Instagram,UK,1559,1403,positive
673,I love this product!,Instagram,Canada,4910,718,positive
674,Would not buy again.,Facebook,USA,2919,108,negative
675,Totally disappointed with the quality.,Facebook,UK,2840,52,negative
676,"Amazing service, will recommend to everyone!",Facebook,Australia,301,1506,positive
677,Could be better.,Instagram,Australia,598,255,neutral
678,Fantastic effort by the team!,Twitter,USA,0,1151,positive
679,Pretty decent for the price.,Twitter,Canada,1011,577,positive
680,"It's okay, nothing special.",Instagram,Australia,4118,79,neutral
681,Fantastic effort by the team!,Instagram,India,3691,207,positive
682,Could be better.,Instagram,UK,3593,1732,neutral
683,"It's okay, nothing special.",Twitter,India,1125,1006,neutral
684,Fantastic effort by the team!,Facebook,USA,2633,1368,positive
685,Could be better.,Twitter,Canada,2163,1120,neutral
686,Would not buy again.,Facebook,USA,2466,1230,negative
687,Worst experience ever.,Instagram,Australia,70,1627,negative
688,Pretty decent for the price.,Instagram,India,2187,1997,positive
689,Fantastic effort by the team!,Instagram,Canada,4406,797,positive
690,Pretty decent for the price.,Facebook,Canada,316,1053,positive
691,Fantastic effort by the team!,Twitter,India,1817,605,positive
692,"Amazing service, will recommend to everyone!",Twitter,USA,2933,16,positive
693,Fantastic effort by the team!,Facebook,USA,3544,397,positive
694,"Amazing service, will recommend to everyone!",Twitter,USA,3321,1866,positive
695,"Amazing service, will recommend to everyone!",Twitter,UK,1698,1210,positive
696,Could be better.,Facebook,USA,164,602,neutral
697,"Amazing service, will recommend to everyone!",Instagram,UK,2790,1470,positive
698,Totally disappointed with the quality.,Facebook,India,2212,790,negative
699,Outstanding performance!,Twitter,Australia,2610,144,positive
700,Outstanding performance!,Twitter,Australia,2656,1054,positive
